,loss
303,0.17878258228302002
304,0.1960645616054535
305,0.17425668239593506
306,0.17909198999404907
307,0.19673968851566315
308,0.16754168272018433
309,0.16297674179077148
310,0.1792328953742981
311,0.17685431241989136
312,0.17952807247638702
313,0.19232991337776184
314,0.1798887401819229
315,0.16357138752937317
316,0.1667317897081375
317,0.17302058637142181
318,0.15952761471271515
319,0.16774031519889832
320,0.17756998538970947
321,0.18647943437099457
322,0.1729935109615326
323,0.16634473204612732
324,0.18128743767738342
325,0.16706150770187378
326,0.17740057408809662
327,0.17862671613693237
328,0.18053147196769714
329,0.1782391369342804
330,0.1684461534023285
331,0.18140313029289246
332,0.20694038271903992
333,0.1936425268650055
334,0.15897008776664734
335,0.16101089119911194
336,0.18458154797554016
337,0.15646915137767792
338,0.16920731961727142
339,0.1654801368713379
340,0.20014938712120056
341,0.1526605486869812
342,0.1602509617805481
343,0.1600232720375061
344,0.1587355136871338
345,0.15795913338661194
346,0.21328338980674744
347,0.17276158928871155
348,0.1696341633796692
349,0.1489604264497757
350,0.19051361083984375
351,0.18178582191467285
352,0.18246617913246155
353,0.17637258768081665
354,0.17258960008621216
355,0.17560049891471863
356,0.1801452338695526
357,0.19038709998130798
358,0.16589772701263428
359,0.18729981780052185
360,0.1717139482498169
361,0.19034448266029358
362,0.16554945707321167
363,0.17850378155708313
364,0.16363108158111572
365,0.18762993812561035
366,0.1769765317440033
367,0.1711394190788269
368,0.1910381317138672
369,0.16065755486488342
370,0.1725514829158783
371,0.1787627935409546
372,0.19834062457084656
373,0.17864352464675903
374,0.16875168681144714
375,0.18682797253131866
376,0.1691565364599228
377,0.17648762464523315
378,0.17829090356826782
379,0.14983704686164856
380,0.17869813740253448
381,0.1631007194519043
382,0.1688086986541748
383,0.1560235321521759
384,0.149534672498703
385,0.17789651453495026
386,0.17280828952789307
387,0.19095326960086823
388,0.1882621794939041
389,0.18807217478752136
390,0.16970425844192505
391,0.19176915287971497
392,0.17517432570457458
393,0.1699897050857544
394,0.1595906764268875
395,0.15793538093566895
396,0.18136046826839447
397,0.1740407943725586
398,0.1529758870601654
399,0.173660546541214
400,0.15789206326007843
401,0.1821393072605133
402,0.16909602284431458
403,0.17590515315532684
404,0.1669769138097763
405,0.15225669741630554
406,0.16848662495613098
407,0.15985700488090515
408,0.17630885541439056
409,0.1591673195362091
410,0.19326406717300415
411,0.17284615337848663
412,0.1897343397140503
413,0.17420652508735657
414,0.17554885149002075
415,0.17536306381225586
416,0.1724850982427597
417,0.17385466396808624
418,0.16664867103099823
419,0.19381611049175262
420,0.15408003330230713
421,0.15815779566764832
422,0.1906440109014511
423,0.18322783708572388
424,0.15959185361862183
425,0.1753678023815155
426,0.1582241952419281
427,0.16634486615657806
428,0.17506495118141174
429,0.1982627958059311
430,0.1569863259792328
431,0.1863161027431488
432,0.16391094028949738
433,0.17328479886054993
434,0.1650294065475464
435,0.17614644765853882
436,0.16459126770496368
437,0.17355217039585114
438,0.1554812788963318
439,0.18278220295906067
440,0.1641811728477478
441,0.1642405241727829
442,0.16943582892417908
443,0.17105960845947266
444,0.1624872237443924
445,0.1555652618408203
446,0.21554265916347504
447,0.16548579931259155
448,0.19738639891147614
449,0.1781671941280365
450,0.17118844389915466
451,0.19097977876663208
452,0.17988267540931702
453,0.17095430195331573
454,0.1677214503288269
455,0.1520981788635254
456,0.18385660648345947
457,0.1549595296382904
458,0.17408256232738495
459,0.19379585981369019
460,0.17624032497406006
461,0.17367157340049744
462,0.19660478830337524
463,0.17186540365219116
464,0.17598295211791992
465,0.1695689558982849
466,0.1853281706571579
